"","Lat","Lon"
"1",41.6662439102172,80.9566692820163
"2",41.6114010405742,81.153490514378
"3",41.5366743823552,81.4103265327948
"4",41.4768349715806,81.61675552058
"5",41.4447362646052,81.7240446219333
"6",41.5620381580488,80.9259659755563
"7",41.5184577851591,81.1105876373316
"8",41.4581454257697,81.3581793110889
"9",41.4084972331554,81.5630119959227
"10",41.3815497975769,81.6723299546681
"11",41.4132698202126,80.8870192242204
"12",41.3827657899314,81.0486772623273
"13",41.3396065091151,81.2749680092245
"14",41.301261457185,81.4723181007315
"15",41.2799641734209,81.5837285164522
"16",41.2746077407509,80.8512026015559
"17",41.2523485811079,80.9913315930083
"18",41.2201604366542,81.1954770576233
"19",41.189229671462,81.3817999050103
"20",41.1722134091573,81.4920053992856
"21",41.1862533019777,80.829933896912
"22",41.1678462660662,80.9560693375661
"23",41.1409906046683,81.1437487296747
"24",41.1142973751882,81.3202127864655
"25",41.0998032540494,81.4281882233097
