ID,County,2013 POPULATION ,2014 POPULATION,2015 POPULATION,2013 Unemployment Rate,2014 Unemployment Rate,2015 Unemployment Rate,2013 CRIME RATE,2014 CRIME RATE,2015 CRIME RATE,Overdoses 2010,Overdoses 2011,Overdoses 2012,Overdoses 2013,Overdoses 2014,Overdoses 2015
1,Adams,28331,28029,"28,031",12.7,9.2,7.9,1344.816632,1626.886439,1266.454996,6,6,10,6,10,12
2,Allen,105002,105180,"101,298",7.8,5.8,4.8,3709.453153,3651.83495,3756.243953,5,9,14,15,12,18
3,Ashland,52870,52910,"52,846",8.1,5.9,5.1,1702.288632,1549.80155,1438.141014,2,4,0,1,3,6
4,Ashtabula,69574,69096,"65,651",9.5,7.2,6,2000.747406,2052.217205,2065.467396,18,18,26,15,27,21
5,Athens,64272,63677,"63,645",9,6.8,6.2,2324.495892,1930.053237,2322.256265,6,12,10,8,8,8
6,Auglaize,32663,34564,"42,702",5.9,4.3,3.7,1200.134709,1099.409791,1100.651023,3,3,5,3,2,9
7,Belmont,68424,59469,"59,242",8.2,6.7,6.3,1050.800889,1126.637408,1163.026231,5,5,10,8,14,18
8,Brown,42365,43854,"42,661",10.2,7.4,6.2,651.4811755,1261.002417,1446.285835,17,11,14,17,17,23
9,Butler,359764,357758,"360,890",7.5,5.5,4.6,4169.95586,3030.819716,3529.053174,59,80,92,120,151,195
10,Carroll,28577,25007,"2,006",7.9,6.1,5.9,1175.770725,975.7267965,1645.064806,3,0,4,2,3,5
11,Champaign,39503,39360,"38,910",6.9,5,4.4,2080.854619,1902.947154,2074.016962,7,6,6,4,11,6
12,Clark,136852,135373,"135,893",7.5,5.8,5,4735.772952,4543.003405,3818.445395,19,34,36,28,38,71
13,Clermont,198750,201136,"202,634",7.4,5.5,4.5,2756.226415,2816.005091,2258.258732,49,49,56,65,80,105
14,Clinton,41973,37766,"41,838",10.5,7.7,6.1,2053.701189,2179.208812,1744.825278,3,6,13,16,13,20
15,Columbiana,100030,82241,"85,389",8.3,6.5,5.9,816.7549735,738.0746829,771.7621708,8,18,17,27,19,30
16,Coshocton,36817,36775,"36,431",9.8,7.5,6.3,1879.566505,1522.773623,1355.988032,2,4,3,4,2,3
17,Crawford,42640,38177,"37,773",9.2,6.7,5.8,3768.761726,4295.780182,3293.357689,7,5,5,2,9,10
18,Cuyahoga,1096980,1078120,"1,099,224",7,6.2,5,3732.520192,3540.885987,2588.917273,159,212,230,255,255,275
19,Darke,48778,50276,"47,916",7,5.3,4.2,2060.355078,1364.468136,949.5784289,5,5,9,9,11,13
20,Defiance,38649,38442,"38,378",7.5,5.5,4.9,1725.788507,1618.021955,1701.495649,3,5,3,5,7,7
21,Delaware,178757,157180,"166,286",5.3,4.1,3.5,1547.351992,1605.166052,1671.21706,12,10,16,15,12,12
22,Erie,76030,68546,"68,232",8.1,6.4,5.6,2351.703275,2828.757331,2598.487513,18,12,12,16,17,23
23,Fairfield,128973,130067,"131,401",6.7,5.2,4.3,2843.230754,2820.085033,2953.554387,15,12,19,17,15,16
24,Fayette,28890,28786,"28,757",7.7,6,4.9,4607.130495,4054.054054,4099.871336,3,5,5,4,12,16
25,Franklin,1208013,1193108,"1,214,471",6.4,4.9,4.1,4580.662625,4092.672248,3485.87986,192,209,191,196,196,279
26,Fulton,38237,38169,"35,114",7.9,5.9,4.9,1433.166828,1194.686788,1213.19132,6,5,9,3,5,6
27,Gallia,30553,30423,"30,115",9.7,7.7,6.5,3040.617943,3464.484107,2317.781836,3,6,3,7,6,9
28,Geauga,83672,94123,"94,431",5.7,5,4,840.1854862,740.5203829,443.7102223,7,11,8,11,11,15
29,Greene,162573,159821,"160,265",7,5.2,4.4,2760.606005,2408.945007,2343.618382,27,23,23,21,40,43
30,Guernsey,39377,39128,"12,827",8.7,6.7,6.3,1622.774716,1748.108771,2962.500975,12,3,3,7,9,9
31,Hamilton,774989,769469,"758,815",7.3,5.5,4.5,4562.774439,4458.659153,4095.332855,110,150,159,212,248,335
32,Hancock,71546,73233,"73,891",6.2,4.4,3.7,2418.024767,2411.481163,1074.555765,7,10,5,4,11,13
33,Hardin,31542,31573,"31,733",7.7,5.7,4.7,2304.863357,2175.909796,1846.658053,6,6,1,10,1,8
34,Harrison,15577,14792,"14,682",7.9,6,6.3,661.2313026,696.3223364,762.8388503,1,4,0,3,2,4
35,Henry,26792,26824,"24,835",8.8,6.5,5.6,2149.895491,1651.506114,1803.905778,1,0,2,1,2,6
36,Highland,42644,43029,"42,672",10.5,7.7,6.3,2239.470969,1919.635595,1912.260967,6,7,3,8,12,9
37,Hocking,29295,28509,"28,035",8.1,6.4,5.5,1379.074927,1536.35694,2182.985554,4,7,4,8,4,3
38,Holmes,43032,43661,"40,823",5.2,4,3.4,808.700502,744.371407,504.617495,1,1,0,1,0,0
39,Huron,21986,25432,"23,056",10.2,8,6.6,2774.492859,1895.250079,2389.833449,4,8,8,14,17,10
40,Jackson,32919,32716,"32,640",10.5,8.8,7.5,2235.790881,2588.947304,1979.166667,7,8,9,12,8,9
41,Jefferson,40694,36998,"39,427",10.9,8.1,7.4,808.4729936,564.8953998,722.8548964,13,25,14,17,21,16
42,Knox,60726,60826,"61,210",6.9,5.3,4.7,2702.302144,2035.313846,2324.783532,7,9,7,12,8,7
43,Lake,203189,171468,"183,867",6.3,5.5,4.4,1704.324545,1251.545478,1765.406517,39,42,48,43,53,50
44,Lawrence,61181,60925,"60,493",8.8,6.6,5.8,1931.972344,2480.098482,1879.556312,9,17,10,9,8,23
45,Licking,161193,140582,"139,124",6.9,5.2,4.4,3173.835092,3103.526767,1536.758575,24,22,13,23,23,29
46,Logan,43265,43277,"43,253",6.8,5.3,4.1,2593.320236,2537.144442,2314.290338,6,0,5,9,4,8
47,Lorain,196157,197296,"251,876",7.4,6.4,5.4,2543.880667,2313.782337,1455.081072,21,25,70,69,71,63
48,Lucas,413720,413324,"411,445",8.7,6.4,5.3,3245.431693,2795.385702,4391.595474,54,57,88,72,115,118
49,Madison,42667,42949,"43,702",6.3,4.7,4,2336.700495,1839.390905,1775.662441,10,3,7,7,7,7
50,Mahoning,233422,227536,"226,561",8.5,6.7,6.1,3492.815587,3594.59602,3228.711031,48,47,48,41,48,60
51,Marion,66304,65862,"65,565",7.9,6,5.1,5019.305019,4315.083052,4552.733928,8,13,19,18,27,22
52,Medina,173657,175767,"174,631",5.8,5,4,994.4891366,983.1196982,887.0131878,7,13,17,14,17,27
53,Meigs,22539,22416,"22,200",11.9,9,8.3,1406.45104,1467.701642,1184.684685,3,5,2,4,4,3
54,Mercer,40993,40847,"40,863",5.1,3.8,3.3,1512.453346,1461.551644,1096.346328,2,4,1,5,5,3
55,Miami,98813,99143,"99,587",7.2,5.4,4.4,2717.253803,2901.869017,2534.46735,14,12,16,12,19,17
56,Monroe,12206,12227,"12,090",10,11,10,565.2957562,507.0745072,504.5492142,0,0,1,0,4,1
57,Montgomery,525786,527020,"523,515",8.3,6.1,5,3988.124446,3877.651702,3584.997565,113,119,150,199,251,239
58,Morgan,14894,14887,"14,797",10.1,7.8,7.3,469.9879146,1652.448445,1520.578496,1,1,0,4,4,0
59,Morrow,35048,31026,"31,145",8,5.9,5,1517.918283,1144.201637,526.5692728,8,5,2,9,6,3
60,Muskingum,86047,83470,"85,761",9.2,7.1,6.1,3413.250898,3276.626333,3295.204114,5,2,7,10,5,13
61,Noble,0,1855,"12,622",9.6,7.6,7.4,0,53.9083558,332.7523372,1,0,0,1,0,5
62,Ottawa,35100,34463,"34,136",9.7,7.6,6.6,1638.176638,1607.52111,1552.613077,2,4,3,4,3,5
63,Paulding,18851,18811,"14,423",7.6,5.5,4.8,1358.018142,967.5190048,852.8045483,2,0,2,0,3,0
64,Perry,34846,34803,"33,845",9.6,7.4,6.5,1199.563795,1666.523001,2103.708081,4,4,7,0,4,7
65,Pickaway,56714,56520,"57,191",7.3,5.7,4.7,3191.451846,2604.387827,2881.572275,9,14,12,10,8,10
66,Pike,28459,28318,"28,148",12.2,9.1,7.4,1447.696686,1257.150929,1687.508882,4,13,3,6,5,11
67,Portage,148823,152574,"150,452",7.7,5.9,4.9,1999.690908,1822.066669,1694.892723,14,6,16,22,30,36
68,Preble,41680,32337,"33,033",7.5,5.7,4.8,1907.389635,1267.897455,1440.983259,7,5,11,6,8,15
69,Putnam,32877,32601,"32,665",6,4.5,3.9,684.3690118,720.8367841,514.3119547,1,0,1,2,3,4
70,Richland,121507,116586,"115,783",8.6,6.5,5.6,4825.236406,4852.212101,4290.785348,14,15,11,22,31,36
71,Ross,77371,77968,"76,950",8.7,6.4,5.3,4771.813729,4127.334291,4144.249513,17,18,12,15,29,38
72,Sandusky,50594,54580,"27,119",7.6,5.7,4.8,2808.633435,2440.454379,4738.375309,4,11,4,5,13,12
73,Scioto,78292,77921,"74,551",11.9,8.7,7.7,3253.205947,3602.366499,3240.734531,22,25,17,18,23,30
74,Seneca,25026,42723,"51,621",7.8,5.7,4.8,0,1476.956206,1334.728115,0,8,6,7,11,9
75,Shelby,48846,48210,"48,514",6.7,5.1,4.3,3187.569095,2391.619996,2364.265985,5,8,5,9,7,8
76,Stark,371121,342902,"342,794",7.6,5.8,5.3,3041.05669,3232.993683,2986.341651,39,40,35,42,59,59
77,Summit,498316,499955,"511,011",7.6,5.9,4.9,3593.502918,3321.698953,3025.375188,66,56,91,76,118,173
78,Trumbull,201235,188199,"176,951",9.3,7.2,6.5,3045.692847,2654.636847,2609.762025,43,57,34,37,54,89
79,Tuscarawas,90788,92091,"92,138",7.3,5.5,5.4,1134.511169,775.3200638,822.6790249,7,13,8,11,6,8
80,Union,52947,53606,"54,151",5.8,4.5,3.8,1276.748447,940.1932619,838.3963362,10,3,3,3,6,5
81,Van Wert,28828,28446,"13,873",7,4.9,4.1,2282.503122,1761.231808,3157.21185,3,6,1,4,4,1
82,Vinton,13205,13260,"13,194",10.7,8,6.6,1809.920485,1704.374057,1538.578142,1,1,5,2,3,1
83,Warren,215555,205630,"208,464",6.5,5,4.1,1613.509313,1275.592083,1133.049351,25,26,32,27,40,42
84,Washington,60973,60751,"60,568",8.6,6.4,6,1087.366539,1104.508568,987.320037,4,6,7,7,12,8
85,Wayne,108826,108727,"107,694",6.2,4.6,3.9,1891.092202,1743.817083,1537.690122,6,13,7,4,13,24
86,Williams,15935,13950,"5,425",7.5,5.4,4.4,1888.923753,1369.175627,3668.202765,3,1,1,5,2,1
87,Wood,114116,118863,"120,618",7,5.2,4.3,1872.655894,1617.828929,1411.066342,9,7,10,4,16,22
88,Wyandot,18999,21601,"21,467",6.3,4.4,3.7,836.8861519,703.6711263,782.5965435,2,2,1,1,0,2
