Income2014,Income2016,Employ2014,Employ2016,BirthWeight2014,BirthWeight2016,Death2014,Death2016,Stage4Capped2014,Stage4Capped2016,Violence2014,Violence2016,Theft2014,Theft2016
24,27.5,20,16,6.8,6.4,1234.4,1225.7,299,323,1.54,1.232,0.78,0.82
18,21.25,15,12,5.4,5.4,1132.7,1118,316,339,1.23,0.984,0.66,0.44
20,23.75,16,13,5.8,5.8,1139.4,1118.4,316,331,1.24,0.992,0.59,0.59
18,21.25,12,9,5.5,5.3,1028.6,1017.6,317,333,1.66,1.328,1.52,1.16
16,18.75,13,11,5.5,5.4,1065.2,1045.3,332,351,0.97,0.776,0.24,0.16
12,15,9,7,4.5,4.4,889,879.1,341,359,0.76,0.608,0.13,0.12
16,20,13,10,5.4,5.3,981.5,968.1,340,353,1.31,1.048,0.34,0.25
18,22.5,14,11,6.1,5.9,1058.4,1075,336,352,1.64,1.312,0.33,0.3
14,16.25,10,8,5.4,5.4,1023.3,1000.3,334,350,0.99,0.792,0.37,0.33
14,16.25,10,8,4.9,4.9,984.2,963.6,344,362,1.25,1,0.29,0.23
17,20,13,10,5.6,5.4,995.4,984.8,339,361,1.06,0.848,0.23,0.18
22,26.25,19,15,6.7,6.6,1189.3,1157,306,340,1.35,1.08,0.9,0.88
11,13.75,9,7,4.9,5,896.7,878.6,344,354,0.8,0.64,0.47,0.49
20,25,17,14,5.3,5,1119.3,1121,338,356,1.05,0.84,0.62,0.48
20,25,14,12,6.4,6.1,1061.5,1059.6,327,337,1.65,1.32,0.82,0.88
15,18.75,12,10,5.3,5.2,1004.9,970.6,331,346,0.96,0.768,0.19,0.15
12,13.75,9,7,4.8,4.7,928.9,906.9,345,357,0.76,0.608,0.19,0.14
20,25,17,14,6.7,6.7,1183.2,1177.1,314,341,1.39,1.112,0.57,0.44
17,21.25,13,11,5.5,5.5,1055.6,1049.3,333,353,1.51,1.208,1.07,0.73
19,22.5,15,12,5.6,5.5,1080.4,1069,311,335,1.26,1.008,0.58,0.6
14,16.25,10,8,4.9,4.7,983.9,965.1,347,359,1.2,0.96,0.57,0.4
16,18.75,12,9,5.7,6,1070.9,1064.7,327,339,1.6,1.28,0.59,0.55
