"","Case ID","Income2014","Income2016","Employ2014","Employ2016","BirthWeight2014","BirthWeight2016","Death2014","Death2016","Stage4Capped2014","Stage4Capped2016","Violence2014","Violence2016","Theft2014","Theft2016","Matched Neuron","BMU1","BMU2","BMUN","EUCDIS1","EUCDIS2","EUCDISN"
"1",1,24,22,20,16,6.8,6.4,1234.4,1225.7,299,323,1.54,2.09,0.78,0.82,5,5,10,21,158.049875451104,173.320410919332,377.458924176452
"2",2,18,17,15,12,5.4,5.4,1132.7,1118,316,339,1.23,1.73,0.66,0.44,14,5,10,21,9.2876388328479,23.615126184183,227.316617802485
"3",3,20,19,16,13,5.8,5.8,1139.4,1118.4,316,331,1.24,1.77,0.59,0.59,10,5,10,21,16.1852743048843,30.2897059930718,233.108343038692
"4",4,18,17,12,9,5.5,5.3,1028.6,1017.6,317,333,1.66,2.13,1.52,1.16,20,18,6,5,23.1381495859122,23.6054253520476,136.598505178895
"5",5,16,15,13,11,5.5,5.4,1065.2,1045.3,332,351,0.97,1.16,0.24,0.16,11,25,19,21,9.68990130739432,9.9449991319365,126.709522285168
"6",6,12,12,9,7,4.5,4.4,889,879.1,341,359,0.76,1.05,0.13,0.12,21,21,16,5,115.970968680314,131.087324547271,334.963302280146
"7",7,16,16,13,10,5.4,5.3,981.5,968.1,340,353,1.31,1.59,0.34,0.25,11,16,22,5,4.88640796735599,7.50216795926972,206.784370607352
"8",8,18,18,14,11,6.1,5.9,1058.4,1075,336,352,1.64,2.09,0.33,0.3,2,2,25,21,23.5016033017475,23.8079858327761,144.69996806681
"9",9,14,13,10,8,5.4,5.4,1023.3,1000.3,334,350,0.99,1.28,0.37,0.33,16,12,6,5,8.82826447555977,12.7394251034846,154.581399690437
"10",10,14,13,10,8,4.9,4.9,984.2,963.6,344,362,1.25,1.55,0.29,0.23,21,16,22,5,12.1077698398112,13.8627681217303,209.724273764799
"11",11,17,16,13,10,5.6,5.4,995.4,984.8,339,361,1.06,1.35,0.23,0.18,11,17,11,5,10.5387038923155,11.9934332249685,186.090695628313
"12",12,22,21,19,15,6.7,6.6,1189.3,1157,306,340,1.35,1.96,0.9,0.88,5,5,10,21,78.1011952100122,93.0264229667242,295.887477351418
"13",13,11,11,9,7,4.9,5,896.7,878.6,344,354,0.8,1.21,0.47,0.49,21,21,16,5,110.878287642813,126.024932082181,329.927425497612
"14",14,20,20,17,14,5.3,5,1119.3,1121,338,356,1.05,1.56,0.62,0.48,20,5,10,21,30.352108019258,32.1641238072097,218.877212495755
"15",15,20,20,14,12,6.4,6.1,1061.5,1059.6,327,337,1.65,2.34,0.82,0.88,5,2,8,21,9.88843962230003,12.3683300789456,136.277373555741
"16",16,15,15,12,10,5.3,5.2,1004.9,970.6,331,346,0.96,1.2,0.19,0.15,16,17,11,5,17.2005220622446,18.6216503051341,188.0487558258
"17",17,12,11,9,7,4.8,4.7,928.9,906.9,345,357,0.76,1.04,0.19,0.14,21,21,16,5,68.461246117132,83.6397662674567,287.765220380531
"18",18,20,20,17,14,6.7,6.7,1183.2,1177.1,314,341,1.39,1.91,0.57,0.44,5,5,10,21,85.93170850072,100.967273375113,304.652444794523
"19",19,17,17,13,11,5.5,5.5,1055.6,1049.3,333,353,1.51,1.8,1.07,0.73,25,19,25,21,8.84555359600536,11.5724116205302,122.901415299725
"20",20,19,18,15,12,5.6,5.5,1080.4,1069,311,335,1.26,1.83,0.58,0.6,9,14,20,21,16.278628468678,17.5546399729638,157.823318750283
"21",21,14,13,10,8,4.9,4.7,983.9,965.1,347,359,1.2,1.44,0.57,0.4,21,16,22,5,11.9319157496497,13.5331024592915,208.945690625775
"22",22,16,15,12,9,5.7,6,1070.9,1064.7,327,339,1.6,2.04,0.59,0.55,2,8,14,21,8.18228108274975,10.0196940440832,145.66089814764
