"","Income2014","Income2016","Employ2014","Employ2016","BirthWeight2014","BirthWeight2016","Death2014","Death2016","Stage4Capped2014","Stage4Capped2016","Violence2014","Violence2016","Theft2014","Theft2016"
"1",14.6728117199974,14.0518092061215,11.1627274547932,8.92554592992564,5.18323311482348,5.09411694486503,992.954518138405,975.260000048524,338.628933000219,354.156477183552,1.096842477162,1.40400506399525,0.409875774015687,0.331070448485638
"2",15.1929796529794,14.5973220378102,11.5501089907837,9.22460471419641,5.27564989459625,5.18053624256387,1003.40191698627,987.580118901251,336.781051038348,352.559956765956,1.15908785586633,1.48861551815857,0.471944987219641,0.38248313462001
"3",16.011633919167,15.4514898359298,12.1393709722505,9.67556040157485,5.4264719565377,5.32263781052453,1019.68364982163,1006.95226876004,333.745426923345,349.948738274462,1.26134587005941,1.62701051904748,0.573959946659156,0.467287683566557
"4",16.8833243787768,16.3552468300612,12.756930176017,10.1489942974391,5.59119622154519,5.47895125489203,1037.3219992178,1027.90142907325,330.43239272006,347.107206360041,1.37311514596794,1.77713292457459,0.686112808416383,0.560576506134864
"5",17.5046422550236,16.9913952391234,13.2175949539799,10.5059285920196,5.71171818966099,5.59628355087405,1050.96599167682,1043.81176532927,328.019775323266,345.092954881683,1.45052361408098,1.88073937467094,0.760215753282777,0.623068520571116
"6",15.2329955091841,14.6115144677135,11.7295809580378,9.41350786231838,5.25765077362524,5.15549836730417,1006.50187548413,989.41399275983,337.040593039116,353.288989304842,1.10107875134837,1.4189770692452,0.418296827267342,0.337708015840245
"7",15.852643668573,15.2523758409346,12.1984291114214,9.77906612913679,5.36631151037856,5.25699425105199,1019.43287990656,1004.08347555419,334.658164093486,351.278762997728,1.16909260935119,1.51751323505463,0.494373161898013,0.403418841659216
"8",16.7402163782692,16.1638153274817,12.8277459852638,10.2617721052633,5.53437066351777,5.41559820703707,1037.41749845833,1024.67117116329,331.023815300697,348.183739256659,1.27623967679283,1.66972899701931,0.612750653728789,0.506320530520539
"9",17.6031276944301,17.0437346503045,13.412704266767,10.7072893366472,5.70665098848707,5.57913013739215,1054.73827301873,1044.55682051131,327.361371307384,345.039753347303,1.38698027778987,1.82415143218171,0.734837237752545,0.612503217322837
"10",18.1669960829526,17.6108167129932,13.8063939355276,11.0076891850466,5.82437040359235,5.69340862634446,1066.77674875473,1058.23055744073,324.906991747273,342.964721669535,1.45939868742907,1.92372099640002,0.810578375419715,0.679328799749112
"11",16.0115108994943,15.392454504301,12.5350067055695,10.096423027492,5.34862614473965,5.23079552763409,1026.10071267609,1010.28368634083,334.908558631278,352.172938337607,1.10874931204095,1.44847234059636,0.436259695097358,0.352989683474327
"12",16.7217860026021,16.117648849852,13.1044698597798,10.5455165580483,5.47593278888892,5.3521479382597,1042.16937603471,1027.66356814981,331.941047421179,349.804304018473,1.17798282171228,1.5560692211359,0.52015079787137,0.428829938350103
"13",17.6149993807358,17.0208424182309,13.7618659320282,11.0531856098374,5.66031436456199,5.53060381904921,1061.54182110567,1048.6224369408,327.840858264353,346.471606672837,1.27974999217051,1.7081334438216,0.638887781155602,0.537820502977889
"14",18.4034873585753,17.8117280603877,14.3001468501063,11.4629416192367,5.84065394987799,5.70601339812059,1078.02764443864,1066.46240385784,324.029323990866,343.32613216997,1.37948625055937,1.8522829132805,0.752750480787571,0.643058523294876
"15",18.8875731677648,18.2886013117402,14.6281134410842,11.7102848709762,5.95983599847381,5.8235845311714,1088.39223765012,1077.62118370509,321.603203836274,341.317578868625,1.44316908750766,1.941779431334,0.820852454890776,0.70747330492543
"16",16.8989687615828,16.2854206815427,13.4655935855327,10.8781957478613,5.4402385384157,5.30710214465693,1049.51025574545,1035.4218640988,332.43239902398,350.814420155706,1.12247024221014,1.49520728132585,0.469302973380376,0.382188002400224
"17",17.6462489776273,17.0377468142864,14.1052649480208,11.3839989725676,5.58324214181072,5.44781840446373,1067.93155588552,1054.46533525547,329.006037440583,348.27347757944,1.18738776007429,1.60235184938621,0.551303632189172,0.459862086806056
"18",18.4719685877435,17.8583065264266,14.7579405784295,11.8885191132432,5.7788767673829,5.64427387798276,1087.65300801623,1074.48943046607,324.694956023419,345.037034948811,1.27522080007585,1.73911510764805,0.654482195199101,0.560639356415487
"19",19.1475034099887,18.5232860574489,15.2505866565163,12.2628269221039,5.96700036724403,5.83409172355481,1103.10764790255,1089.95568343372,320.910613264975,342.170538697452,1.35775651005526,1.86155577649668,0.746419088287977,0.652442816905798
"20",19.5521439477845,18.9120261420025,15.5316533943705,12.4725596923611,6.0919797996671,5.96074668641263,1112.20143711912,1098.99048111912,318.535091046917,340.324413893729,1.41135173582581,1.93750722050573,0.800821436090979,0.708984226615912
"21",17.7101652052582,17.0995566254684,14.3148797648599,11.5859111595692,5.51859090958266,5.37403422336343,1071.7592676381,1059.32550684251,329.898298664467,349.241148270825,1.14271139743895,1.55231015136054,0.511564494651436,0.420893301863807
"22",18.409193160447,17.7902042611081,14.9418157405472,12.0777138737013,5.66683285568753,5.52445611940884,1090.11316320031,1077.56162032203,326.350684926558,346.785444149217,1.19894630207379,1.64840265799893,0.582639695334497,0.491685820116268
"23",19.1179201305304,18.4790488298231,15.5433867191082,12.5382303800413,5.86281299443719,5.72775408293724,1108.61350119656,1095.27357251305,322.148835888543,343.89196755489,1.27008540036638,1.76150637258445,0.663357321100152,0.575986209684021
"24",19.6813365415805,19.0203798106869,15.994611651457,12.8778190001955,6.05231030755063,5.92500471171553,1122.94225291473,1108.57465092726,318.526533989802,341.416266922703,1.3354614351879,1.85946589666906,0.731329235852783,0.650011948022248
"25",20.0239370961555,19.3391357940137,16.2494984753004,13.0655567743063,6.1809747928814,6.0583437018159,1131.28793564016,1116.22966803686,316.217816197878,339.754608176512,1.37992357476393,1.92196532365479,0.772015503392938,0.696962427647223
