Area,Income2014,Income2016,Employ2014,Employ2016,BirthWeight2014,BirthWeight2016,ZDeath2014,ZDeath2016,ZStage4Capped2014,ZStage4Capped2016,Violence2014,Violence2016,Theft2014,Theft2016,AirConcentrate2014,AirConcentrate2016,Emission2014,Emission2016,NoHeat2014,NoHeat2016
BlaenauGwent,24,22,20,16,6.8,6.4,2.0093718817851,2.01031675380373,-2.1577852391806,-2.16703875255915,1.54,2.09,.78,.82,38,38,52,52,.59,.59
Bridgend,18,17,15,12,5.4,5.4,.899332957238552,.862712909428807,-.933184815123629,-.71409086512902,1.23,1.73,.66,.44,67,67,71,71,.63,.63
Caerphilly,20,19,16,13,5.8,5.8,.972462365247028,.866975133549049,-.933184815123629,-1.44056480884409,1.24,1.77,.59,.59,86,86,67,67,.59,.59
Cardiff,18,17,12,9,5.5,5.3,-.236901576146858,-.207105344751713,-.861149496061454,-1.25894632291532,1.66,2.13,1.52,1.16,100,100,81,81,1.56,1.56
Carmarthenshire,16,15,13,11,5.5,5.4,.162581458645708,.0880536755749835,.21938028987117,.375620050443579,.97,1.16,.24,.16,29,29,57,57,1.94,1.94
Ceredigion,12,12,9,7,4.5,4.4,-1.76061282360702,-1.6829004463852,.867698161430745,1.10209399415865,.76,1.05,.13,.12,10,10,5,5,5.11,5.11
Conwy,16,16,13,10,5.4,5.3,-.750990399609419,-.734555579631551,.79566284236857,.557238536372346,1.31,1.59,.34,.25,19,19,19,19,2.99,2.99
Denbighshire,18,18,14,11,6.1,5.9,.0883605669356147,.404523816502887,.50752156611987,.466429293407962,1.64,2.09,.33,.3,24,24,24,24,2.38,2.38
Flintshire,14,13,10,8,5.4,5.4,-.294750212332666,-.391446537952142,.36345092799552,.284810807479196,.99,1.28,.37,.33,81,81,100,100,1.28,1.28
Gwynedd,14,13,10,8,4.9,4.9,-.721520339665705,-.782505600984263,1.08380411861727,1.37452172305179,1.25,1.55,.29,.23,0,0,0,0,6.58,6.58
IsleofAnglesey,17,16,13,10,5.6,5.4,-.599274165084374,-.556607722611485,.723627523306395,1.28371248008741,1.06,1.35,.23,.18,5,5,5,5,4.54,4.54
MerthyrTydfil,22,21,19,15,6.7,6.6,1.51711273235492,1.27827976115232,-1.65353800574538,-.623281622164636,1.35,1.96,.9,.88,43,43,43,43,.78,.78
Monmouthshire,11,11,9,7,4.9,5,-1.67656857858235,-1.6882282265355,1.08380411861727,.648047779336729,.8,1.21,.47,.49,52,52,52,52,1.29,1.29
NeathPortTalbot,20,20,17,14,5.3,5,.753074141221602,.894679590330615,.65159220424422,.829666265265495,1.05,1.56,.62,.48,71,71,71,71,.81,.81
Newport,20,20,14,12,6.4,6.1,.122196561685804,.240428187873603,-.140796305439704,-.895709351057786,1.65,2.34,.82,.88,95,95,95,95,1,1
Pembrokeshire,15,15,12,10,5.3,5.2,-.495583213430567,-.707916678880044,.147344970808995,-.0784261643783371,.96,1.2,.19,.15,33,33,33,33,3.3,3.3
Powys,12,11,9,7,4.8,4.7,-1.32511082666103,-1.38667587002844,1.15583943767944,.920475508229879,.76,1.04,.19,.14,14,14,14,14,3.08,3.08
RhonddaCynonTaf,20,20,17,14,6.7,6.7,1.45053222655616,1.49245652319443,-1.07725545324798,-.532472379200253,1.39,1.91,.57,.44,62,62,62,62,.93,.93
Swansea,17,17,13,11,5.5,5.5,.0577990232902799,.130675916777395,.291415608933345,.557238536372346,1.51,1.8,1.07,.73,57,57,57,57,.98,.98
Torfaen,19,18,15,12,5.6,5.5,.328486981291801,.34059045469927,-1.2933614104345,-1.07732783698655,1.26,1.83,.58,.6,90,90,90,90,.78,.78
ValeofGlamorgan,14,13,10,8,4.9,4.7,-.724794790770563,-.766522260533359,1.29991007580379,1.10209399415865,1.2,1.44,.57,.4,76,76,76,76,1.27,1.27
Wrexham,16,15,12,9,5.7,6,.224796029637993,.294771545406678,-.140796305439704,-.71409086512902,1.6,2.04,.59,.55,48,48,48,48,1.6,1.6
